,runID,evtID,S2_area,S2_btm_area,S2_top_area,S2_TBA,S2_corrected_area,S2_XY_corrected_area,S2_width_ns,S2_peakAmp,S2_AFT_5,S2_AFT_10,S2_AFT_25,S2_AFT_50,S2_AFT_75,S2_AFT_90,S2_AFT_95,S2_rmsWidth_ns,S2_fwhm_ns,S2_x_cm,S2_y_cm,S2_xy_chiSq,S2_n_saturated,has_good_S1,drift_time,S1_area,S1_corrected_area,evt_total_area,evt_bad_area,evt_bad_e_area,evt_bad_ph_area,evt_bad_oth_area
18245,6941,46510,81.0,468.1800231933594,1342.3231201171875,0.48281773924827576,2004.34033203125,0.0718357190489769,2390.0,2.3197426795959473,630.0,740.0,970.0,1240.0,1490.0,1740.0,1890.0,304.0,740.0,19.445270538330078,-29.619327545166016,1.3386582136154175,0.0,True,13400.0,38.24591827392578,40.9769401550293,2059.384165197611,211.52325668931007,1929.4545364379883,91.68371048569679,0.0
21127,6983,149505,140.0,503.8869323730469,1584.940185546875,0.5175407528877258,2139.97705078125,0.07647313177585602,2580.0,3.268406867980957,670.0,750.0,900.0,1090.0,1280.0,1460.0,1570.0,222.0,660.0,10.653605461120605,18.3464412689209,1.5627920627593994,0.0,True,2679.999755859375,44.562110900878906,45.69063949584961,2586.7914938926697,473.67889738082886,2394.326816558838,166.19508695602417,1.4553337097167969
22937,7041,38774,92.0,1471.1505126953125,3081.000732421875,0.35364601016044617,4593.4091796875,0.1422305405139923,2690.0,4.009338855743408,420.0,510.0,730.0,1070.0,1390.0,1580.0,1680.0,348.0,1280.0,-15.663537979125977,8.064032554626465,1.4861328601837158,0.0,True,2170.0,4.3333940505981445,4.5059919357299805,5254.15220233798,697.9491793811321,5161.574558258057,88.24425002932549,0.0
24508,7003,13969,259.0,448.4010925292969,1435.1094970703125,0.5238666534423828,1890.040771484375,0.06869284808635712,2100.0,3.2482404708862305,590.0,670.0,800.0,960.0,1140.0,1300.0,1410.0,196.0,560.0,-3.6974446773529053,-21.037979125976562,0.8402597904205322,0.0,True,3060.0,2288.958251953125,2378.61376953125,4571.022431761026,398.5573438704014,2038.898811340332,241.83068349957466,1.33468496799469
25004,7047,145368,102.0,1185.4168701171875,2467.45849609375,0.35096779465675354,3861.939697265625,0.12488219141960144,3910.0,2.596151113510132,800.0,1010.0,1360.0,1810.0,2270.0,2670.0,2910.0,520.0,1470.0,10.136191368103027,2.501999616622925,1.8985456228256226,0.0,True,3300.0,7.8231706619262695,8.287013053894043,4060.338724076748,399.6312760710716,3941.721221923828,97.5396928191185,13.254638671875
26748,6961,96915,531.0,918.3886108398438,2911.372314453125,0.5203937292098999,4159.55517578125,0.1505175232887268,2770.0,6.19838285446167,620.0,690.0,840.0,1010.0,1180.0,1350.0,1470.0,201.0,580.0,-42.186527252197266,-18.074508666992188,1.2781723737716675,0.0,True,2720.0,93.5431900024414,98.30825805664062,4656.795608788729,733.3390887081623,4089.930316925049,469.2285102903843,4.093591570854187
26984,7019,36426,91.0,594.247802734375,2041.3031005859375,0.549052357673645,2845.862548828125,0.10287211835384369,2850.0,2.860356092453003,770.0,890.0,1110.0,1380.0,1650.0,1870.0,2020.0,307.0,900.0,42.28221893310547,13.124433517456055,1.5559074878692627,0.0,True,12650.0,63.01091003417969,67.43844604492188,3083.5503469109535,385.13098961114883,2934.119255065918,86.42018181085587,0.0
27048,7019,36889,107.0,980.4710693359375,2916.058837890625,0.49674656987190247,3917.5712890625,0.1369795948266983,3510.0,3.7486159801483154,970.0,1120.0,1380.0,1680.0,1960.0,2230.0,2390.0,342.0,950.0,4.633698463439941,-12.704702377319336,1.3623346090316772,0.0,True,16790.0,108.11988067626953,113.0460433959961,4556.664164468646,551.7525357455015,4358.105152130127,90.27567255496979,0.16345910727977753
28095,6986,103008,96.0,753.1068725585938,2047.41162109375,0.46216607093811035,3246.962158203125,0.11731965839862823,4120.0,2.333435297012329,980.0,1190.0,1560.0,1970.0,2330.0,2700.0,2890.0,460.0,1010.0,36.7917594909668,-5.3716840744018555,1.5144189596176147,0.0,True,29310.0,80.25367736816406,86.02062225341797,3139.7125763595104,259.18521735072136,2973.9694633483887,82.61687704920769,2.87255859375
29019,6986,30563,144.0,875.3529052734375,2047.6343994140625,0.4010559618473053,3199.24609375,0.09621626138687134,3170.0,2.8445651531219482,590.0,660.0,820.0,1120.0,1430.0,1620.0,1730.0,316.0,1130.0,-7.439272403717041,-44.052978515625,9.125020027160645,0.0,True,910.0,8.292360305786133,8.777020454406738,3562.088194191456,631.0990565419197,3433.694477081299,118.24402612447739,1.8573306798934937
29548,6993,74721,110.0,478.4550476074219,1437.1578369140625,0.5004678964614868,2190.114013671875,0.07796932011842728,2820.0,2.7148993015289307,660.0,760.0,920.0,1140.0,1360.0,1590.0,1730.0,257.0,690.0,39.22753143310547,-15.929176330566406,1.320652723312378,0.0,True,8060.00048828125,47.35715866088867,50.417423248291016,2368.2533865273,405.1429319679737,2200.9671516418457,104.8468008339405,15.082275390625
30545,7067,73059,137.0,430.1494140625,1379.8472900390625,0.5246959328651428,1975.4327392578125,0.07020401954650879,2990.0,2.3252711296081543,720.0,810.0,990.0,1220.0,1460.0,1710.0,1860.0,277.0,750.0,19.520915985107422,43.8719596862793,1.2338807582855225,0.0,True,10370.0,41.44212341308594,44.134498596191406,2024.2412863075733,172.76657012104988,1862.7736625671387,117.14505323767662,2.8804470896720886
30589,7067,73450,130.0,823.2643432617188,2531.52783203125,0.509200930595398,3315.948486328125,0.1171969622373581,3570.0,2.9759464263916016,730.0,890.0,1190.0,1510.0,1860.0,2160.0,2350.0,390.0,1060.0,-3.1260769367218018,-2.05800724029541,1.3071943521499634,0.0,True,22510.001953125,57.295501708984375,59.941741943359375,3755.778321236372,343.8824777305126,3557.0581817626953,123.1458291709423,18.27880859375
