,runID,evtID,S2_area,S2_btm_area,S2_top_area,S2_TBA,S2_corrected_area,S2_XY_corrected_area,S2_width_ns,S2_peakAmp,S2_AFT_5,S2_AFT_10,S2_AFT_25,S2_AFT_50,S2_AFT_75,S2_AFT_90,S2_AFT_95,S2_rmsWidth_ns,S2_fwhm_ns,S2_x_cm,S2_y_cm,S2_xy_chiSq,S2_n_saturated,has_good_S1,drift_time,S1_area,S1_corrected_area,evt_total_area,evt_bad_area,evt_bad_e_area,evt_bad_ph_area,evt_bad_oth_area
14304,8156,58051,116.0,682.2982177734375,1537.7850341796875,0.38533997535705566,2649.100341796875,0.09140744805335999,10100.0,0.7470333576202393,1720.0,2180.0,3150.0,4190.0,5350.0,6650.0,7400.0,1351.0,3510.0,35.523658752441406,-9.258723258972168,1.3497320413589478,0.0,True,57570.0,42.64072799682617,46.974098205566406,2541.0017995238304,278.20921605825424,2372.0827407836914,122.37183660268784,3.906494140625
14895,8141,129545,98.0,325.4739990234375,943.9363403320312,0.4872044026851654,1300.343017578125,0.04613683372735977,5620.0,0.9443596601486206,1630.0,1960.0,2390.0,2910.0,3470.0,3880.0,4240.0,609.0,1750.0,10.339888572692871,17.457439422607422,1.2626802921295166,0.0,True,54880.0,69.4569320678711,73.5414810180664,1491.438012689352,152.98547515273094,1333.67578125,88.30529937148094,0.0
15036,8154,38283,207.0,213.8563995361328,660.0280151367188,0.5105614066123962,920.2536010742188,0.03275658190250397,4460.0,0.6966651678085327,980.0,1250.0,1710.0,2200.0,2650.0,3090.0,3470.0,563.0,1220.0,-23.810260772705078,-7.768245220184326,2.008930206298828,0.0,True,54980.0,33.96076583862305,36.238365173339844,1091.1914082169533,184.09526640176773,873.1353759765625,182.72617083787918,1.3690955638885498
15977,8167,2263,141.0,347.2368469238281,625.80859375,0.2862885296344757,1165.2757568359375,0.0298155490309,4140.0,1.002213954925537,650.0,800.0,1050.0,1360.0,1700.0,2020.0,2480.0,386.0,970.0,-40.86394119262695,-30.081445693969727,6.886592864990234,0.0,True,604550.0,6.1426520347595215,5.864253997802734,1216.0139814019203,236.91667848825455,1066.4437141418457,126.97431343793869,16.453301787376404
15991,8167,2398,94.0,107.43400573730469,350.0660095214844,0.5303431749343872,519.8342895507812,0.018946466967463493,4350.0,0.40331214666366577,900.0,1080.0,1490.0,1990.0,2610.0,2990.0,3290.0,618.0,1560.0,-53.31926727294922,0.30240926146507263,1.418473482131958,0.0,True,55930.00390625,14.896126747131348,16.40012550354004,553.4475003480911,81.01350128650665,457.5378723144531,77.46681582927704,3.5466854572296143
16135,8149,106139,303.0,291.1155090332031,960.9210205078125,0.5349728465080261,1313.024658203125,0.048310957849025726,4400.0,1.0874698162078857,980.0,1170.0,1520.0,1910.0,2410.0,2780.0,3000.0,501.0,1370.0,-28.609519958496094,-0.27097705006599426,1.1664462089538574,0.0,True,55920.0,47.71958541870117,50.30329895019531,1597.6760853528976,298.5580624341965,1288.8459396362305,259.17751228809357,1.9330480098724365
16229,8149,107019,214.0,1088.9603271484375,3104.81884765625,0.4806782603263855,4377.88427734375,0.15336164832115173,5580.0,2.3382279872894287,1330.0,1590.0,2070.0,2690.0,3310.0,3880.0,4220.0,711.0,1790.0,14.100926399230957,22.396278381347656,1.650608777999878,0.0,True,53260.0,143.87657165527344,152.59803771972656,4951.462061583996,614.3520914912224,4607.021892547607,184.02985540032387,16.533741980791092
16462,8137,101642,76.0,239.51914978027344,661.6217041015625,0.46840906143188477,983.053955078125,0.03411980718374252,4300.0,0.8520451784133911,1040.0,1260.0,1660.0,2020.0,2520.0,3070.0,3270.0,543.0,910.0,1.6745781898498535,-38.57077407836914,1.5219042301177979,0.0,True,50500.0,21.506114959716797,23.098270416259766,1054.0936964154243,132.82073575258255,961.0883560180664,71.49922543764114,0.0
16975,8172,86261,470.0,1076.72314453125,3487.071044921875,0.5281456708908081,4720.84814453125,0.16977426409721375,4990.0,3.000947952270508,1580.0,1830.0,2250.0,2710.0,3230.0,3650.0,3910.0,565.0,1490.0,-19.575843811035156,-25.072385787963867,1.4231765270233154,0.0,True,51260.0,119.40873718261719,127.96110534667969,5512.597248733044,829.1875349879265,4944.346351623535,407.7700589299202,41.07210099697113
17124,8172,87484,849.0,1716.156494140625,5314.529296875,0.5118096470832825,8017.44873046875,0.2857329845428467,6340.0,4.718002796173096,1600.0,1840.0,2280.0,2730.0,3180.0,3640.0,3930.0,548.0,1290.0,30.3174991607666,-32.151790618896484,1.9972201585769653,0.0,True,52430.0,195.38282775878906,213.4000244140625,9286.143432136625,2060.000350471586,8253.180274963379,754.7270991504192,82.85323026403785
17301,8128,73940,220.0,841.9567260742188,2444.99951171875,0.4876982271671295,3465.634521484375,0.12175589799880981,5210.0,2.1131184101104736,1370.0,1640.0,2060.0,2540.0,3030.0,3510.0,3780.0,572.0,1490.0,-24.695722579956055,-9.392251014709473,1.5432542562484741,0.0,True,54380.0,114.31849670410156,122.24300384521484,3938.666032284498,537.3629164397717,3596.0857696533203,204.33599063754082,23.925775289535522
17679,8170,9890,157.0,3083.162353515625,9211.4482421875,0.4984530508518219,12839.4501953125,0.44973766803741455,6010.0,6.731695175170898,1910.0,2220.0,2700.0,3250.0,3760.0,4240.0,4550.0,627.0,1750.0,10.148487091064453,28.654438018798828,1.8674296140670776,0.0,True,50960.0,233.24398803710938,247.82814025878906,13459.193765699863,931.2066136002541,13013.320301055908,142.20169657468796,70.4277800321579
17695,8133,112568,201.0,1326.192626953125,3996.65087890625,0.5016976594924927,5507.69384765625,0.19219213724136353,5750.0,2.9764997959136963,1660.0,1950.0,2420.0,2960.0,3480.0,4020.0,4400.0,637.0,1770.0,-4.252335548400879,30.927759170532227,1.939049482345581,0.0,True,50580.0,100.52073669433594,106.41588592529297,5878.874063640833,455.42998710274696,5556.559162139893,168.33454939723015,53.45961540937424
